,日期,新增用户数,1日后留存,2日后留存,3日后留存,4日后留存,5日后留存,6日后留存,7日后留存,8日后留存,9日后留存,10日后留存
0,2022-12-21,642,145,84,71,65,55,46,42,39,39,35
1,2022-12-22,932,436,367,337,325,329,190,185,191,190,
2,2022-12-23,607,161,91,71,63,52,47,48,43,,
3,2022-12-24,612,142,109,72,48,40,41,33,,,
4,2022-12-25,710,165,108,88,70,60,61,,,,
5,2022-12-26,818,185,120,173,132,128,,,,,
6,2022-12-27,1007,272,213,216,216,,,,,,
7,2022-12-28,704,199,72,59,,,,,,,
8,2022-12-29,1610,435,284,,,,,,,,
9,2022-12-30,1072,315,,,,,,,,,
